1: 74.73, 48.73, 0.001566, 27.85
2: 58.56, 50.26, 0.001576, 25.69
3: 81.55, 60.96, 0.001583, 24.79
4: 55.77, 51.12, 0.001575, 22.98
5: 57.52, 51.24, 0.001588, 27.17
6: 57.30, 48.65, 0.001580, 23.59
7: 58.57, 56.23, 0.001577, 23.30
8: 76.25, 58.63, 0.001580, 26.95
9: 76.79, 59.01, 0.001586, 24.55
10: 76.36, 59.70, 0.001583, 23.16

Y= 76.36 + 59.70Cos(0.00158 X +23.16)
